DATE,CASES,zeven,DATUM
2020-03-07,27,49.0,07/03/2020
2020-03-08,64,55.0,08/03/2020
2020-03-09,94,66.0,09/03/2020
2020-03-10,99,75.0,10/03/2020
2020-03-11,174,93.0,11/03/2020
2020-03-12,250,117.0,12/03/2020
2020-03-13,338,149.0,13/03/2020
2020-03-14,179,171.0,14/03/2020
2020-03-15,214,193.0,15/03/2020
2020-03-16,387,234.0,16/03/2020
2020-03-17,422,281.0,17/03/2020
2020-03-18,534,332.0,18/03/2020
2020-03-19,713,398.0,19/03/2020
2020-03-20,662,444.0,20/03/2020
2020-03-21,469,486.0,21/03/2020
2020-03-22,486,525.0,22/03/2020
2020-03-23,1328,659.0,23/03/2020
2020-03-24,1195,770.0,24/03/2020
2020-03-25,1199,865.0,25/03/2020
2020-03-26,1363,957.0,26/03/2020
2020-03-27,1518,1080.0,27/03/2020
2020-03-28,844,1133.0,28/03/2020
2020-03-29,683,1161.0,29/03/2020
2020-03-30,1738,1220.0,30/03/2020
2020-03-31,1681,1289.0,31/03/2020
2020-04-01,1516,1335.0,01/04/2020
2020-04-02,1478,1351.0,02/04/2020
2020-04-03,1694,1376.0,03/04/2020
2020-04-04,922,1387.0,04/04/2020
2020-04-05,665,1385.0,05/04/2020
2020-04-06,1934,1413.0,06/04/2020
2020-04-07,1515,1389.0,07/04/2020
2020-04-08,1598,1401.0,08/04/2020
2020-04-09,2239,1510.0,09/04/2020
2020-04-10,2336,1601.0,10/04/2020
2020-04-11,1029,1617.0,11/04/2020
2020-04-12,524,1596.0,12/04/2020
2020-04-13,537,1397.0,13/04/2020
2020-04-14,1560,1403.0,14/04/2020
2020-04-15,1633,1408.0,15/04/2020
2020-04-16,1674,1328.0,16/04/2020
2020-04-17,1394,1193.0,17/04/2020
2020-04-18,722,1149.0,18/04/2020
2020-04-19,443,1138.0,19/04/2020
2020-04-20,1276,1243.0,20/04/2020
2020-04-21,1270,1202.0,21/04/2020
2020-04-22,777,1079.0,22/04/2020
2020-04-23,976,980.0,23/04/2020
2020-04-24,811,896.0,24/04/2020
2020-04-25,388,849.0,25/04/2020
2020-04-26,205,815.0,26/04/2020
2020-04-27,755,740.0,27/04/2020
2020-04-28,569,640.0,28/04/2020
2020-04-29,522,604.0,29/04/2020
2020-04-30,586,548.0,30/04/2020
2020-05-01,237,466.0,01/05/2020
2020-05-02,286,451.0,02/05/2020
2020-05-03,140,442.0,03/05/2020
2020-05-04,670,430.0,04/05/2020
2020-05-05,546,427.0,05/05/2020
2020-05-06,552,431.0,06/05/2020
2020-05-07,442,410.0,07/05/2020
2020-05-08,483,446.0,08/05/2020
2020-05-09,240,439.0,09/05/2020
2020-05-10,118,436.0,10/05/2020
2020-05-11,476,408.0,11/05/2020
2020-05-12,395,387.0,12/05/2020
2020-05-13,321,354.0,13/05/2020
2020-05-14,305,334.0,14/05/2020
2020-05-15,346,314.0,15/05/2020
2020-05-16,147,301.0,16/05/2020
2020-05-17,81,296.0,17/05/2020
2020-05-18,317,273.0,18/05/2020
2020-05-19,292,258.0,19/05/2020
2020-05-20,385,268.0,20/05/2020
2020-05-21,70,234.0,21/05/2020
2020-05-22,248,220.0,22/05/2020
2020-05-23,123,217.0,23/05/2020
2020-05-24,75,216.0,24/05/2020
2020-05-25,314,215.0,25/05/2020
2020-05-26,202,202.0,26/05/2020
2020-05-27,182,173.0,27/05/2020
2020-05-28,171,188.0,28/05/2020
2020-05-29,165,176.0,29/05/2020
2020-05-30,61,167.0,30/05/2020
2020-05-31,49,163.0,31/05/2020
2020-06-01,59,127.0,01/06/2020
2020-06-02,181,124.0,02/06/2020
2020-06-03,159,121.0,03/06/2020
2020-06-04,172,121.0,04/06/2020
2020-06-05,154,119.0,05/06/2020
2020-06-06,69,120.0,06/06/2020
2020-06-07,53,121.0,07/06/2020
2020-06-08,152,134.0,08/06/2020
2020-06-09,145,129.0,09/06/2020
2020-06-10,119,123.0,10/06/2020
2020-06-11,95,112.0,11/06/2020
2020-06-12,89,103.0,12/06/2020
2020-06-13,49,100.0,13/06/2020
2020-06-14,22,96.0,14/06/2020
2020-06-15,147,95.0,15/06/2020
2020-06-16,99,89.0,16/06/2020
2020-06-17,123,89.0,17/06/2020
2020-06-18,108,91.0,18/06/2020
2020-06-19,121,96.0,19/06/2020
2020-06-20,50,96.0,20/06/2020
2020-06-21,20,95.0,21/06/2020
2020-06-22,143,95.0,22/06/2020
2020-06-23,110,96.0,23/06/2020
2020-06-24,100,93.0,24/06/2020
2020-06-25,76,89.0,25/06/2020
2020-06-26,113,87.0,26/06/2020
2020-06-27,41,86.0,27/06/2020
2020-06-28,24,87.0,28/06/2020
2020-06-29,127,84.0,29/06/2020
2020-06-30,100,83.0,30/06/2020
2020-07-01,135,88.0,01/07/2020
2020-07-02,93,90.0,02/07/2020
2020-07-03,94,88.0,03/07/2020
2020-07-04,64,91.0,04/07/2020
2020-07-05,24,91.0,05/07/2020
2020-07-06,112,89.0,06/07/2020
2020-07-07,99,89.0,07/07/2020
2020-07-08,137,89.0,08/07/2020
2020-07-09,124,93.0,09/07/2020
2020-07-10,127,98.0,10/07/2020
2020-07-11,62,98.0,11/07/2020
2020-07-12,43,101.0,12/07/2020
2020-07-13,224,117.0,13/07/2020
2020-07-14,207,132.0,14/07/2020
2020-07-15,260,150.0,15/07/2020
2020-07-16,226,164.0,16/07/2020
2020-07-17,274,185.0,17/07/2020
2020-07-18,130,195.0,18/07/2020
2020-07-19,64,198.0,19/07/2020
2020-07-20,443,229.0,20/07/2020
2020-07-21,145,220.0,21/07/2020
2020-07-22,553,262.0,22/07/2020
2020-07-23,439,293.0,23/07/2020
2020-07-24,496,324.0,24/07/2020
2020-07-25,229,338.0,25/07/2020
2020-07-26,184,356.0,26/07/2020
2020-07-27,595,377.0,27/07/2020
2020-07-28,685,454.0,28/07/2020
2020-07-29,703,476.0,29/07/2020
2020-07-30,635,504.0,30/07/2020
2020-07-31,684,531.0,31/07/2020
2020-08-01,309,542.0,01/08/2020
2020-08-02,148,537.0,02/08/2020
2020-08-03,794,565.0,03/08/2020
2020-08-04,813,584.0,04/08/2020
2020-08-05,767,593.0,05/08/2020
2020-08-06,769,612.0,06/08/2020
2020-08-07,771,624.0,07/08/2020
2020-08-08,304,624.0,08/08/2020
2020-08-09,122,620.0,09/08/2020
2020-08-10,873,631.0,10/08/2020
2020-08-11,718,618.0,11/08/2020
2020-08-12,609,595.0,12/08/2020
2020-08-13,669,581.0,13/08/2020
2020-08-14,587,555.0,14/08/2020
2020-08-15,163,534.0,15/08/2020
2020-08-16,132,536.0,16/08/2020
2020-08-17,707,512.0,17/08/2020
2020-08-18,725,513.0,18/08/2020
2020-08-19,612,514.0,19/08/2020
2020-08-20,581,501.0,20/08/2020
2020-08-21,510,490.0,21/08/2020
2020-08-22,203,496.0,22/08/2020
2020-08-23,115,493.0,23/08/2020
2020-08-24,607,479.0,24/08/2020
2020-08-25,527,451.0,25/08/2020
2020-08-26,526,438.0,26/08/2020
2020-08-27,535,432.0,27/08/2020
2020-08-28,614,447.0,28/08/2020
2020-08-29,195,446.0,29/08/2020
2020-08-30,117,446.0,30/08/2020
2020-08-31,634,450.0,31/08/2020
2020-09-01,565,455.0,01/09/2020
2020-09-02,574,462.0,02/09/2020
2020-09-03,677,482.0,03/09/2020
2020-09-04,728,499.0,04/09/2020
2020-09-05,322,517.0,05/09/2020
2020-09-06,155,522.0,06/09/2020
2020-09-07,918,563.0,07/09/2020
2020-09-08,871,606.0,08/09/2020
2020-09-09,1024,671.0,09/09/2020
2020-09-10,1143,737.0,10/09/2020
2020-09-11,1284,817.0,11/09/2020
2020-09-12,617,859.0,12/09/2020
2020-09-13,301,880.0,13/09/2020
2020-09-14,1724,995.0,14/09/2020
2020-09-15,1628,1103.0,15/09/2020
2020-09-16,1943,1234.0,16/09/2020
2020-09-17,1750,1321.0,17/09/2020
2020-09-18,1709,1382.0,18/09/2020
2020-09-19,894,1421.0,19/09/2020
2020-09-20,461,1444.0,20/09/2020
2020-09-21,2202,1512.0,21/09/2020
2020-09-22,2074,1576.0,22/09/2020
2020-09-23,2096,1598.0,23/09/2020
2020-09-24,1795,1604.0,24/09/2020
2020-09-25,1623,1592.0,25/09/2020
2020-09-26,1078,1618.0,26/09/2020
2020-09-27,559,1632.0,27/09/2020
2020-09-28,2791,1717.0,28/09/2020
2020-09-29,3008,1850.0,29/09/2020
2020-09-30,3274,2018.0,30/09/2020
2020-10-01,3423,2251.0,01/10/2020
2020-10-02,3752,2555.0,02/10/2020
2020-10-03,1728,2648.0,03/10/2020
2020-10-04,1067,2720.0,04/10/2020
2020-10-05,5313,3081.0,05/10/2020
2020-10-06,5758,3474.0,06/10/2020
2020-10-07,6904,3992.0,07/10/2020
2020-10-08,6679,4457.0,08/10/2020
2020-10-09,7952,5057.0,09/10/2020
2020-10-10,4370,5435.0,10/10/2020
2020-10-11,2439,5631.0,11/10/2020
2020-10-12,9872,6282.0,12/10/2020
2020-10-13,12778,7285.0,13/10/2020
2020-10-14,12533,8089.0,14/10/2020
2020-10-15,12027,8853.0,15/10/2020
2020-10-16,13738,9680.0,16/10/2020
2020-10-17,8124,10216.0,17/10/2020
2020-10-18,4339,10487.0,18/10/2020
2020-10-19,15824,11338.0,19/10/2020
2020-10-20,19600,12312.0,20/10/2020
2020-10-21,17628,13040.0,21/10/2020
2020-10-22,17715,13853.0,22/10/2020
2020-10-23,18863,14585.0,23/10/2020
2020-10-24,11552,15074.0,24/10/2020
2020-10-25,4880,15152.0,25/10/2020
2020-10-26,19845,15726.0,26/10/2020
2020-10-27,22190,16096.0,27/10/2020
2020-10-28,17982,16147.0,28/10/2020
2020-10-29,15074,15769.0,29/10/2020
2020-10-30,15388,15273.0,30/10/2020
2020-10-31,6308,14524.0,31/10/2020
2020-11-01,2661,14207.0,01/11/2020
2020-11-02,13842,13349.0,02/11/2020
2020-11-03,12082,11905.0,03/11/2020
2020-11-04,9213,10653.0,04/11/2020
2020-11-05,7644,9591.0,05/11/2020
2020-11-06,6638,8341.0,06/11/2020
2020-11-07,3043,7875.0,07/11/2020
2020-11-08,1449,7702.0,08/11/2020
2020-11-09,8613,6955.0,09/11/2020
2020-11-10,7662,6323.0,10/11/2020
2020-11-11,2001,5293.0,11/11/2020
2020-11-12,6467,5125.0,12/11/2020
2020-11-13,5696,4990.0,13/11/2020
2020-11-14,2360,4893.0,14/11/2020
2020-11-15,1053,4836.0,15/11/2020
2020-11-16,5830,4438.0,16/11/2020
2020-11-17,4823,4033.0,17/11/2020
2020-11-18,3681,4273.0,18/11/2020
2020-11-19,3007,3779.0,19/11/2020
2020-11-20,3075,3404.0,20/11/2020
2020-11-21,1258,3247.0,21/11/2020
2020-11-22,585,3180.0,22/11/2020
2020-11-23,3944,2910.0,23/11/2020
2020-11-24,2865,2631.0,24/11/2020
2020-11-25,2669,2486.0,25/11/2020
2020-11-26,2412,2401.0,26/11/2020
2020-11-27,2724,2351.0,27/11/2020
2020-11-28,1001,2314.0,28/11/2020
2020-11-29,556,2310.0,29/11/2020
2020-11-30,3286,2216.0,30/11/2020
2020-12-01,2682,2190.0,01/12/2020
2020-12-02,2598,2180.0,02/12/2020
2020-12-03,2361,2173.0,03/12/2020
2020-12-04,2549,2148.0,04/12/2020
2020-12-05,1094,2161.0,05/12/2020
2020-12-06,595,2166.0,06/12/2020
2020-12-07,3347,2175.0,07/12/2020
2020-12-08,2710,2179.0,08/12/2020
2020-12-09,2749,2201.0,09/12/2020
2020-12-10,2668,2245.0,10/12/2020
2020-12-11,2885,2293.0,11/12/2020
2020-12-12,1581,2362.0,12/12/2020
2020-12-13,735,2382.0,13/12/2020
2020-12-14,3805,2448.0,14/12/2020
2020-12-15,3200,2518.0,15/12/2020
2020-12-16,2753,2518.0,16/12/2020
